,Date Submitted,Date/Time,Short Description,Location of Event,Long Description,Attachments
,,of Event,,,,
4,6/18/2018,5/18/2018,{rjl} ntity only appeared for a couple of frames in video and then warped shape.,"Broken Arrow, OK, US",,ScreenShot20180615at9.52.15AM.png
,,7:56AM,,,,ScreenShot20180615at9.52.24AM.png
5,6/2/2018,6/1/2018,{td} sitting on front porch saw a very extremely fast randomly pulsating light not a meteor.,"Tulsa, OK, US",,
,,10:38PM,,,,
6,6/1/2018,5/21/2018,{td} Light appreared. Descended towards me. Hovered. Two men approached me wearing suits. Men spoke to me telepathically. Men walked away in the same way it seemed that they came. I noticed the light was gone once I looked as the two men left my view.,"Stilwell, Ok, OK, US",,
,,2:00AM,,,,
7,5/26/2018,5/23/2018,{rjl} Caught strange flying object on the way to pick someone up.,"Oklahoma City, OK, US",,5F4BE4A422DA434A8BD6092BA348B370.MOV
,,11:45PM,,,,
8,5/24/2018,5/8/2018,{rjl} Angels not UFO's I have countless hours of video and actual extracted photos,"Lawton, OK, US",,Angel.jpg
,,12:00AM,,,,
9,5/22/2018,5/21/2018,{rjl} Saucer shaped only able to see three front lights,"OK, US",,
,,10:20PM,,,,
10,5/22/2018,5/21/2018,"{rjl} Happened over trees where Y St of Fort Smith, AR meets Main St and State Line Road of Arkoma, OK","Arkoma, OK, US",,
,,9:59PM,,,,
11,5/21/2018,5/17/2018,"{rjl} Two strange lights, odd behavior unlike regular stars","Stillwater, OK, US",,20180517214045.jpg
,,9:40PM,,,,20180517214050.jpg
12,4/28/2018,4/27/2018,"{rjl} brighter than usual plane appears to drop small object, object falls for short time and shoots off in opposite direction.","OK, US",,
,,10:45PM,,,,
13,4/9/2018,4/9/2018,{td} Glowing light that hovered in the same spot as last time it disapeared evertime a plane went by 2nd sighting,"Wayne, OK, US",,IMG20180409205549.jpg
,,9:06PM,,,,IMG20180409205807.jpg
,,,,,,IMG20180409205547.jpg
,,,,,,IMG20180409205541.jpg
14,4/8/2018,4/8/2018,{td} Strange Bing object,"OK, US",,Interesting.jpg
,,8:12AM,,,,
15,4/4/2018,3/29/2018,{jpg} Abducted me in my parking garage around 2am and I Woke up 12 hours later in bed with comforter neatly folded and bed made neatly,"Norman, OK, US",,IMG0444.JPG
,,3:32AM,,,,
16,2/27/2018,2/26/2018,"{td}Looked like a boomerang, you would imagine a plane but stopped in mid air. had no tail just like a full wing.","Tulsa, OK, US",,
,,3:30PM,,,,
17,2/9/2018,2/6/2018,"{jpg} Watching falcon heavy deploy starman, an object passed over the top during deployment.","OK, US",,1DCED179F13C4993859D8545A89F0783.MOV
,,12:00AM,,,,
18,2/2/2018,2/2/2018,{td}As I was exiting to Newcastle Casino looked across the road song large round UFO hovering above could see it very well like the lights in the middle in the front beaming out lights around the backside and around all sides but there is no just the one,"Newcastle , OK, US",,
,,6:01AM,,,,
19,2/1/2018,1/31/2018,{td}Appeared to be a triangle,"Tulsa, OK, US",,20180131062123.jpg
,,6:21AM,,,,20180131062120.jpg
20,1/28/2018,1/28/2018,{dr}{td}One outside smoke a cigarette and seen this multi-colored orb flashing all different colors is it flew side to side but wobbling like top,"Sapulpa, OK, US",,IMG20180128001755457.jpg
,,1:45AM,,,,IMG20180128003744.JPG
21,1/26/2018,1/25/2018,{jpg} bright quite moving very fast not airplain or millitary jet way to fast,"antlers, OK, US",,VID20180125185531.mp4
,,6:50PM,,,,VID20180125185531.mp4
22,1/25/2018,1/25/2018,{jpg} Yellow Orb Over Downtown Tulsa,"Tulsa, OK, US",,
,,7:15PM,,,,
23,1/24/2018,1/22/2018,{jpg} Shimmering triangle with hard-edges patterns titled slowly forward then twinkled brightly and vanished.,"Oklahoma City, OK, US",,
,,2:00PM,,,,
24,1/5/2018,1/5/2018,{dr}Hovered where no lights have been int he past. Then shot off to NE,"Tulsa, OK, US",,image1.jpeg
,,4:31AM,,,,image2.jpeg
1,1/5/2019,11/24/2018,{dr}I have the pictures from a game camera on my lap top and an sd card. Please provide email or physical add and I'll send them.,"Welch, OK, US",,A0000688.JPG
,,7:21PM,,,,A0000689.JPG
,,,,,,A0000689.JPG
,,,,,,A0002214.JPG
,,,,,,A0002215.JPG
2,12/18/2018,12/3/2018,{rjl} Took picture of sunset and seen object left of sun then less than a minute later it was on right side,"Davis, OK, US",,20181203170026.jpg
,,5:00PM,,,,20181203170029.jpg
3,12/17/2018,12/15/2018,{rjl} It was a bright light over the road. I live in a rural area and there are no reason for this light in this area. I took a pictures.,"Elmore City, OK, US",,IMG3745.JPG
,,1:00AM,,,,IMG3735.JPG
,,,,,,IMG3736.JPG
4,12/11/2018,12/10/2018,{caksaw reddish orb outside at vacant house hoovering up & down.then I thought it was a prank someone's drone.it started like hovering up in trees & to ground.i went after it yelling it hid behind tree then it stood across rd changing shapes.then it happe,"ringold, OK, US",,
,,4:10AM,,,,
5,12/11/2018,12/10/2018,{cak} 3 contrails in a line overlapping when not many planes are seen. Many other planes in area which is unusual.,"Okemah, OK, US",,40F30E7046294A189899EFD724B64575.jpeg
,,5:05PM,,,,6D6A692DC825463BA5CFAF1A1611B6A0.jpeg
6,12/7/2018,7/15/2018,{jpg} Creepy,"Muldrow, OK, US",,5F13B7828B3349F69CAD2053E9CE779E.jpeg
,,8:30AM,,,,6B75EBDA11CE428D9060D4238045404C.jpeg
,,,,,,352302AA0E3F4C49991BCF9996113530.jpeg
,,,,,,70C21E0CACBD4EF79EE07C5217E8C597.jpeg
7,12/7/2018,7/15/2018,{jpg} Human like,"Muldrow, OK, US",,D8ACD5CAF1174ED8B08DD67EC5667A85.jpeg
,,8:30AM,,,,CA6A892DB3EA4E96A725F4557F6D4D27.jpeg
,,,,,,08343C7A85224CB5ABCE8225156F8D4B.jpeg
,,,,,,2BD28A0D26674B639E5F2FC3C38C813D.jpeg
8,12/7/2018,11/30/2018,{jpg} Red lights blinking green in middle hovered 50 yards or less above ground just at three level at times. Appeared disappeared zig zag all direction very fast appeared to absorbed car that honked also white orange glowing light,"Mcalester, OK, US",,BullCreeknightvision.mp4
,,5:56AM,,,,UnknownprobingnoisesandAlienFacesintheskyatHickoryPoint.mp4
,,,,,,BullCreeknightvision.mp4
,,,,,,20181130055719001.mp4
,,,,,,Pumpstationfull.mp4
9,12/4/2018,11/19/2018,{jpg} Hovering light that stayed in the same spot for over 20 minutes,"Chandler, OK, US",,7A180A22BBDC4F67B136DB3EF06A8864.MOV
,,5:32AM,,,,
10,11/29/2018,11/29/2018,"{tjd} Observe large bright light in the Southern sky in Tulsa, Oklahoma while walking my dog. Have taken photos, as the light seemed to pulse a bright white light. This was not the moon as the moon was directly overhead.","Tulsa, OK, US",,4706CAA9008B474EBAA24DFAB079CC24.jpeg
,,5:43AM,,,,524930695DB64A88A3762CFBB76E2A70.jpeg
,,,,,,8218E816891C408180B89BC3B30BE5D9.jpeg
,,,,,,B5A99233F8D945B385F4CD23B2E76D12.jpeg
,,,,,,2BDF8E2C8C824F7787A9317C1E1472D0.jpeg
11,11/27/2018,11/25/2018,{tjd} Wow,"Adamson, OK, US",,20181126051727001.mp4
,,5:14AM,,,,
12,11/7/2018,10/17/2018,{jpg} Black object going up in front of moon leaving a smoke trail,"Elmore city, OK, US",,20181023194026.mp4
,,11:00PM,,,,20181023194003.mp4
,,,,,,20181023193816.mp4
,,,,,,20181023193357.mp4
,,,,,,20181023193600.jpg
13,10/30/2018,10/30/2018,{tjd} I live near tinker airport. This was not a toy drone. I watch the sky. UFO.,"Midwest city ok., OK, US",,
,,7:25PM,,,,
14,10/24/2018,10/24/2018,{cak} Husband noticed large rectangualr objects in sky then ascend,"Hugo, OK, US",,
,,12:00AM,,,,
15,10/21/2018,10/20/2018,"{cak} high altitude wingless craft that moved to south appeared to turn and morph into glowing sphere that looked like a planet coming toward me, laser streak came from north captured my attention","Broken Arrow, OK, US",,
,,12:00AM,,,,
16,10/10/2018,10/9/2018,{tjd} Was taking a photo of my Moms pasture which was flooded. Did not see the object until after picture was taken,"Hitchcock, OK, US",,20181009184635HDR.jpg
,,6:00PM,,,,
17,10/5/2018,10/4/2018,{jpg} The object was stationary with 2smaller objects hovering over bigger one. Position of left unit was directly over center while right unit was at about 2 o'clock position. No movement was observed. I observed the items for approximately 10 minutes.,"Miami, OK, US",,
,,3:23AM,,,,
18,10/3/2018,9/25/2018,{jpg} pick up on trail cam not witness,"OK, US",,WGI0008201.JPG
,,11:51AM,,,,WGI0012201.JPG
,,,,,,WGI0020201.JPG
19,9/29/2018,9/19/2018,"{dr}Both star-like objects appeared, then slowly got brighter and then slowly disappeared.","Frederick, OK, US",,VideoCapture20180922193554.jpg
,,7:42PM,,,,
20,8/9/2018,8/8/2018,"{jpg} Saw a speck in the sky, they shone a light on me then came after me.","Mcalester, OK, US",,
,,9:35AM,,,,
21,8/8/2018,8/7/2018,"{jpg} I was in my garage..and while waiting for my friend to pull up in his car i kept walking down the driveway looking for his car..then i noticed a white object in the west just above the trees, ascending vertically .","Tulsa, OK, US",,20180807215254.jpg
,,9:45PM,,,,20180807215246.jpg
,,,,,,20180807215244.jpg
,,,,,,20180807215243.jpg
22,7/31/2018,7/31/2018,{rjl} Light was,"Ponca City, OK, US",,
,,12:00AM,,,,
23,7/19/2018,7/19/2018,{td} silver starlike,"McAlester, OK, US",,20180719053401.mp4
,,5:30AM,,,,20180719053359.jpg
24,7/19/2018,7/18/2018,{td} Me and my son was outside playing with a star finder app and seen a glowing orb in the sky that we thought was a star,"Sapulpa, OK, US",,VID20180718230500.mp4
,,12:00AM,,,,VID20180718232258.mp4
25,7/11/2018,7/11/2018,{jpg} heard dog going crazy outside hours earlier and say white flashing lights at11pm. Then son woke up at 3am said his room went dim and he looked from over the covers and there was an alien watching him. He claimed to have seen one outside the kitchen.,"Stilwell, OK, US",,
,,3:00AM,,,,
26,7/10/2018,7/10/2018,{jpg} 3 black circles,"McAlester, OK, US",,20180710164919.jpg
,,2:00PM,,,,
1,10/7/2018,1/1/2018,{tjd} Seen every night on the ground and in sky,"Saint Clair, MO, US",,trim.A7FB1E49175F4D729412A64820223C32.MOV
,,1:00AM,,,,trim.4E18AF68FED64AD5B1B6D61AD8EC1CAC.MOV
,,,,,,trim.6BBAB7FC63BB4EEA951DBB1CEBB63A83.MOV
,,,,,,image.jpg
,,,,,,image.jpg
,,,,,,image.jpg
2,8/3/2018,6/22/2018,{rjl} Seen through binoculars traveling high over houses a triangle shaped craft with lights. Was seen by a grandfather and his grandchild ( drawing included),"Farmington , MO, US",,8FE1B879AF2241409C58567831243354.jpeg
,,8:00AM,,,,
3,7/3/2018,6/25/2018,{dr}2 cigar shaped tubes crossed went different directions,"Pleasent hope, MO, US",,
,,8:25PM,,,,
4,6/30/2018,6/28/2018,{td} Didn’t notice until after to took the photo from my cell phone,"MO, US",,3AAC45C97E31483080591633D9872625.jpeg
,,6:30PM,,,,
5,6/20/2018,6/19/2018,{rjl} Shaped like a blimp like object but more cone shaped with a cylinder on top and bottom.,"Moscow Mills, MO, US",,ufo2.jpg
,,10:47AM,,,,
6,6/20/2018,6/20/2018,{rjl} Cloud hvrn n center drop out then rise to the right of the hole,"MO, US",,20180620132743.jpg
,,12:00AM,,,,
7,6/19/2018,6/19/2018,{rjl} blimp like object observed in sky above tree line from vehicle,"warrento, MO, US",,IMG0027.jpg
,,11:15AM,,,,
8,6/16/2018,6/13/2018,{cak} I saw a flash of light fall from sky. Then 33 airplanes fly over area.,"St. Thomas, MO, US",,
,,1:15AM,,,,
9,6/7/2018,6/5/2018,"{jpg} Green/Red glowing VERY bright like fireball, size of low flying helicopter or plane but clearly wasn't they have flashing red light, seen by 3 people went from NW to SE fast","Cadet, MO, US",,
,,9:30PM,,,,
10,6/4/2018,6/3/2018,{jpg} Triangular/beveled pyramid shape emitted green lights and opened to let another object in,"Old Mines, MO, US",,
,,9:00PM,,,,
11,6/4/2018,6/1/2018,"{jpg} While flying in airliner at 36,000 feet, off to east at about 50,000 feet suddenly appeared while photoing clouds.","West Plains, MO, US",,UFOAnvils.jpg
,,12:00AM,,,,
12,5/25/2018,5/19/2018,"{rjl} taking pics of cloud formations after storm, after closer look.....","St. Louis, MO, US",,IMG0822.JPG
,,12:00AM,,,,
13,5/23/2018,5/23/2018,{rjl} 2 solid white objects with straight flight paths,"MO, US",,
,,9:10PM,,,,
14,5/15/2018,5/14/2018,{cak} Large star like object over Affton MO,"ST Louis, MO, US",,20180514205503.jpg
,,9:10PM,,,,20180514205518.jpg
,,,,,,Screenshot20180514205550Camera.jpg
,,,,,,Screenshot20180514213202Gallery.jpg
,,,,,,20180514205523.mp4
15,5/8/2018,5/7/2018,Strange bright lights for the past two weeks over Pevely,"Piedmont, MO, US",,
,,8:30PM,,,,
16,5/4/2018,5/3/2018,{jpg} Line of bright white lights ringing the object that then began to strobe the selected colors above.,"Caverna, MO, US",,
,,10:28PM,,,,
17,4/25/2018,4/24/2018,{rjl} This has actually became pretty normal. I reported it once before about three years ago and it went away for a while so I didn't follow up when you called.,"Springfield, MO, US",,
,,8:10PM,,,,
18,4/20/2018,4/19/2018,"{cak} low fire like lights scattered in a localized area that hovered for at least one minute. some tiny, some large, very beautiful. below the cloud line and above roof line of home","St. Peters, MO, US",,
,,8:40PM,,,,
19,4/16/2018,4/15/2018,"{cak} bright white light, short rectangular shape with rounded edges, transparent but low glowing perimeter with windows, looked like a hologram","Lonedell, MO, US",,
,,3:54AM,,,,
20,4/2/2018,3/30/2018,"{jpg} On Friday morning my friend and I observered a bright white object flying from the south west, we slowed and watched as it went over us heading northwest","Excelsior Springs , MO, US",,
,,4:30AM,,,,
21,4/2/2018,3/28/2018,{jpg} On march 28th i received a camera alert from my home. I believe it shows a descending ufo which cast a bright light an entity is shown looking through my window,"innsbrook , MO, US",,IMG0330.mp4
,,12:00AM,,,,IMG0348.JPG
,,,,,,IMG0347.JPG
,,,,,,IMG0345.JPG
22,3/25/2018,2/27/2018,Just a very slow moving ball of light,"Miller, MO, US",,MVI2272.MOV
,,6:30AM,,,,MVI2273.MOV
,,,,,,MVI2274.MOV
,,,,,,MVI2275.MOV
23,3/23/2018,3/7/2018,"{rjl} An unidentified object flew by my window, making a loud rumbling sound and emitting beams of light.","Strafford, MO, US",,
,,1:00AM,,,,
24,3/19/2018,3/19/2018,{rjl} Beam of light came out of cloud toward ground,"Washburn, MO, US",,
,,4:05PM,,,,
25,3/16/2018,3/14/2018,{cak} Small enough to fit 10 human like creatures and a testing lab.,"Eldorado springs , MO, US",,
,,11:30AM,,,,
26,3/13/2018,3/13/2018,"{cak} flashing light in the sky, every 10-12 seconds will little to no movement of the object.","O'Fallon, MO, US",,
,,5:30AM,,,,
27,3/6/2018,3/5/2018,"{jpg} Star like with red ,blue,white lights stationary seemed like it moved with the rotation of the earth","MO, US",,
,,12:00AM,,,,
28,3/2/2018,3/1/2018,"{td}Bright object under 1,000 ft moving overhead then shot of at 90 degree angle very fast","Independence, MO, US",,
,,7:05PM,,,,
29,2/16/2018,1/30/2018,{cak} Orange orb followed by an aircraft,"Springfield , MO, US",,
,,7:00PM,,,,
30,2/13/2018,2/13/2018,"{cak} smoking cig and noticed flashing light, then moved quickly and continued moving in fast odd directions, seems to hover moving right and left like floating on water, continued doing this until way off in distance","VAN BUREN, MO, US",,
,,1:28AM,,,,
31,2/12/2018,2/12/2018,{cak} Square ufo thing with blue Red green lights and hovering,"St. Peters , MO, US",,image.jpg
,,12:00AM,,,,
32,2/12/2018,2/12/2018,"{cak} Saw 3-5 craft spaced about 200 yards between each other, hovering and rotating. Then would move along a set path and the next craft would come in.","St. Peters , MO, US",,
,,8:05PM,,,,
33,2/4/2018,1/1/2018,{jpg} every night we see these 4-5 lights close to Orion they bounce around the sky all night,"clinton, MO, US",,IMG87462.JPG
,,12:00AM,,,,lights1211.jpg
,,,,,,MVI8756.MOV
34,1/28/2018,1/27/2018,{dr}{td}I saw something flickering in the sky so I photographed it with my phone and it turned out like this,"MO, US",,6C5316B1DFAD4C57918D3A696155EB26.jpeg
,,9:05PM,,,,621C0B03488F43E3A1AAECB1AD8BF2D9.png
,,,,,,67212695F9A94A24ACA3F8D5627719F5.png
35,1/26/2018,1/25/2018,{jpg} The formation had 4 bright lights in a perfectly straight line.,"Maryland Heights, MO, US",,J9TGXHC.jpg
,,7:30PM,,,,Lights.01.25.181958CST.mp4
36,1/25/2018,1/24/2018,{jpg} black circle seeming to possibly be in distress,"Washburn, MO, US",,
,,8:00PM,,,,
37,1/20/2018,1/20/2018,{rjl} Triangle shaped craft with under carriage lights at the apex of each corner.,"St. Peters, MO, US",,IMG2883.MOV
,,6:52PM,,,,
38,1/19/2018,1/19/2018,{rjl} Very flashsy lights.. with very loud humming sound,"St. Louis, MO, US",,IMG20180119094807.jpg
,,8:30AM,,,,IMG20180119103537.jpg
39,1/12/2018,1/9/2018,{cak} Found two UFOs in photo after reviewing pictures of the sky at dusk,"Independence, MO, US",,FBIMG1515644000587.jpg
,,5:05PM,,,,FBIMG1515644040145.jpg
,,,,,,FBIMG1515644050005.jpg
40,1/5/2018,1/5/2018,{dr}was in hot tub looking up at sky and watched silent triangle craft with dim lights,"webb city, MO, US",,
,,9:47PM,,,,
1,10/27/2018,9/18/2018,Bright sphere with attached lights of various colors that pulsated and brightened,"Newburg, MO, US",,
,,8:30PM,,,,
2,10/19/2018,9/15/2018,{rjl} Ship flashed white and flew over me,"Independence , MO, US",,7B173BF01F1B4B278DF74B04C2D70E7D.MOV
,,8:43PM,,,,
3,10/12/2018,8/4/2018,{tjd} I have seen 11 of these flashes since June in the same place. All stories are the same.,"In independence , MO, US",,F8A9E72F76C442B79BD9EEF7E1ED9191.MOV
,,3:30AM,,,,
4,10/11/2018,8/25/2018,{tjd} Spouse & I sitting on back porch. Air got thick & silent. Took photos. Captured tube like thing on our roof & lights imitating from sky.,"Cedar Hill, MO, US",,20180825214740.jpg
,,9:30PM,,,,Tubeoverroof8.25.18enhanced.jpg
,,,,,,20180915143835.jpg
,,,,,,20180915141435.jpg
,,,,,,20180912132312.jpg
5,9/28/2018,9/27/2018,"{dr}Very bright lights, 6 seperate UFO's in different parts of sky!Moved up and down!","Willow Springs, MO, US",,
,,8:30PM,,,,
6,9/21/2018,9/15/2018,{rjl} Multiple lights in sky directly above me in same place every morning,"Imperial , MO, US",,
,,5:00AM,,,,
7,9/17/2018,8/31/2018,"{rjl} Driving N into Webb City Mo, taking pics of clouds.Object was not seen in sky at time of pic.","Webb City, MO, US",,UFOoverWebbCity1
,,1:49PM,,,,
8,9/17/2018,9/16/2018,"{rjl} My husband, 30 yr. old daughter, and myself witnessed several ufo's in sky above Willow Springs, MO","Willow Springs, MO, US",,
,,8:15PM,,,,
9,9/16/2018,9/12/2018,strange lights in the south hemisphere very far away it did a sharp up sweep towards the east and then assendend towards us very fast hoovered above head 100ft changed light good view of shape & then left north,"Sparta , MO, US",,
,,10:30PM,,,,
10,9/16/2018,9/15/2018,"Floating Elk River. Looking at clouds Track and I saw a cigar Shae reflective, silvery crap, hovering between two crowns for about five minutes then it went into the cloud and disappeared. At least no trail after it it was silent and it just floated in th","Noel, MO, US",,
